item,style,condition,question,video,,,
28,Indirect,TRUTH,Is your religion Buddhism?,video/V40.mp4,buddhist,.,
16,Direct,LIE,"How many siblings do you have? (Eg. 0, 1, 2, 3)",video/V38.mp4,2,.,
27,Indirect,TRUTH,Do you drink alcohol rarely?,video/V4.mp4,rarely,X?,
18,Direct,TRUTH,What was the last country you visited?,video/V30.mp4,malaysia,.,
15,Indirect,LIE,Are you from Republic Polytechnic?,video/V22.mp4,SP,.,
8,Direct,TRUTH,What is your favourite food?,video/V39.mp4,all food,.,
1,Indirect,LIE,Are you from Clementi Primary School?,video/V24.mp4,clementi,.,
19,Direct,TRUTH,Which MRT station is closest to your house?,video/V1.mp4,cck,.,
19,Direct,LIE,Which MRT station is closest to your house?,video/V16.mp4,bukit panjang,.,
29,Direct,TRUTH,What brand of handphone do you use?,video/V35.mp4,xiaomi,.,
16,Direct,TRUTH,"How many siblings do you have? (Eg. 0, 1, 2, 3)",video/V14.mp4,1,.,
6,Direct,LIE,What CCA (Co-curricular Activity) did you join in secondary school?,video/V3.mp4,basketball,.,
15,Direct,TRUTH,Which polytechnic or junior college are you from?,video/V10.mp4,RP,.,
2,Direct,LIE,Which secondary school did you attend?,video/V6.mp4,clementi,.,
27,Direct,LIE,How frequently do you drink alcohol?,video/V15.mp4,once a week,/?,socially
30,Indirect,LIE,Do you use a Asus laptop?,video/V28.mp4,hp,.,
4,Indirect,TRUTH,Is Mrs Tan your favourite teacher in secondary school?,video/V23.mp4,mr foo,.,
3,Indirect,TRUTH,Is Nicole your closest friend back in secondary school?,video/V33.mp4,nicole is not my closest friend,/,
12,Direct,LIE,What was your favourite subject back in secondary school?,video/V8.mp4,chinese,.,
26,Indirect,LIE,Do you not smoke at all? ,video/V34.mp4,socially,.,
20,Indirect,LIE,Is your house on the 14th floor of the building?,video/V37.mp4,14,.,
20,Indirect,TRUTH,Is your house on the 6th floor of the building?,video/V5.mp4,6,.,
28,Direct,LIE,What religion do you practice?,video/V27.mp4,christian,.,
8,Indirect,LIE,Is your favourite food Pizza?,video/V17.mp4,pizza,.,
22,Indirect,LIE,Are you in your 3rd year in NTU?,video/V18.mp4,3,.,
29,Direct,LIE,What brand of handphone do you use?,video/V29.mp4,apple,.,
1,Direct,TRUTH,Which primary school are you from?,video/V11.mp4,teck whye,.,
30,Indirect,TRUTH,Do you use a HP laptop?,video/V21.mp4,asus,.,
4,Direct,LIE,Who is your favourite teacher in secondary school?,video/V36.mp4,mr lim,.,
21,Indirect,LIE,Are you from School of Social Sciences in NTU?,video/V13.mp4,sss,.,
2,Direct,TRUTH,Which secondary school did you attend?,video/V25.mp4,teck whye,.,
18,Indirect,LIE,Was the last country you visited Malaysia?,video/V9.mp4,thailand,.,
22,Direct,TRUTH,"Which year in NTU are you currently in? (Eg. 1, 2, 3, 4)",video/V26.mp4,1,.,
21,Direct,TRUTH,"Which school in NTU are you from? (Eg. NBS, SSS, SOH)",video/V31.mp4,cee,.,
23,Direct,LIE,What course are you studying?,video/V19.mp4,civil engineering,.,
23,Indirect,TRUTH,Are you studying Maritime Studies course in NTU?,video/V7.mp4,maritime studies,.,
26,Direct,TRUTH,How often do you smoke?,video/V12.mp4,do not smoke,.,
3,Indirect,LIE,Is Soon Keat your closest friend back in secondary school?,video/V20.mp4,not the closest friend,/,
6,Indirect,TRUTH,Were you in the Choir CCA during secondary school?,video/V2.mp4,boys bridage,.,
12,Indirect,TRUTH,Was your favourite subject Maths back in secondary school?,video/V32.mp4,math,.,
