item,style,condition,question,video,,
22,Indirect,LIE,Are you in your 1st year in NTU?,video/V29.mp4,1,.
9,Indirect,TRUTH,Is your favourite drink Green Tea?,video/V32.mp4,not green tea,/
27,Direct,TRUTH,How frequently do you drink alcohol?,video/V20.mp4,couple of times a week,/
23,Indirect,LIE,Are you studying Business course in NTU?,video/V8.mp4,business,.
21,Direct,LIE,"Which school in NTU are you from? (Eg. NBS, SSS, SOH)",video/V39.mp4,nbs,.
14,Direct,TRUTH,"What is your favourite flavour?(E.g. chocolate, vanilla, milktea; it can be a complicated flavour)",video/V17.mp4,vanilla,.
16,Direct,LIE,"How many siblings do you have? (Eg. 0, 1, 2, 3)",video/V16.mp4,2,.
18,Indirect,TRUTH,Was the last country you visited Australia?,video/V22.mp4,not australia,/
14,Direct,LIE,"What is your favourite flavour?(E.g. chocolate, vanilla, milktea; it can be a complicated flavour)",video/V10.mp4,chocolate,.
2,Direct,LIE,Which secondary school did you attend?,video/V2.mp4,hwa chong,.
16,Direct,TRUTH,"How many siblings do you have? (Eg. 0, 1, 2, 3)",video/V38.mp4,1,.
20,Indirect,TRUTH,Is your house on the 13th floor of the building?,video/V30.mp4,13,.
6,Indirect,TRUTH,Were you in the Concert Band CCA during secondary school?,video/V6.mp4,not concert band,/
24,Indirect,TRUTH,Is your mum 59 years old this year?,video/V11.mp4,59,.
30,Direct,LIE,What brand of laptop do you mainly use?,video/V13.mp4,acer,.
26,Indirect,LIE,Do you smoke frequently?,video/V9.mp4,not smoker,.
29,Indirect,LIE,Do you use a Apple phone?,video/V26.mp4,apple,.
30,Indirect,TRUTH,Do you use a Lenovo laptop?,video/V5.mp4,do not use lenovo,.
1,Direct,LIE,Which primary school are you from?,video/V31.mp4,coral pri,.
24,Direct,LIE,"How old is your mum? (Eg. 45, 52)",video/V36.mp4,58,.
29,Indirect,TRUTH,Do you use a Samsung phone?,video/V33.mp4,samsung,.
9,Indirect,LIE,Is your favourite drink Single Malt Whiskey?,video/V1.mp4,not single malt whiskey,/
19,Indirect,TRUTH,Is the Bugis station the closest MRT to your house?,video/V35.mp4,bugis is not,/
1,Indirect,TRUTH,Are you from Ngee Ann Primary School?,video/V14.mp4,ngee ann pri,.
27,Direct,LIE,How frequently do you drink alcohol?,video/V4.mp4,rarely if not never drink,.
22,Indirect,TRUTH,Are you in your 4th year in NTU?,video/V21.mp4,4th,.
21,Indirect,TRUTH,Are you from School of Physical and Mathematical Sciences in NTU?,video/V37.mp4,spms,.
2,Indirect,TRUTH,Are you from Anderson Secondary School?,video/V34.mp4,not from anderson,/
18,Direct,LIE,What was the last country you visited?,video/V28.mp4,australia,.
5,Indirect,LIE,Is your favourite country Thailand?,video/V15.mp4,not thailand,/
25,Direct,LIE,"How old is your dad? (Eg. 45, 52)",video/V24.mp4,61,.
19,Indirect,LIE,Is the Hougang station the closest MRT to your house?,video/V25.mp4,hougang is not,/
20,Direct,LIE,Which floor of the building is your house on?,video/V19.mp4,12,.
15,Direct,TRUTH,Which polytechnic or junior college are you from?,video/V7.mp4,temasek poly,.
6,Indirect,LIE,Were you in the National Police Cadet Corps CCA during secondary school?,video/V12.mp4,not from npcc,/
5,Indirect,TRUTH,Is your favourite country Sweden?,video/V18.mp4,not sweden,/
26,Indirect,TRUTH,Do you not smoke at all? ,video/V3.mp4,often,.
23,Direct,TRUTH,What course are you studying?,video/V27.mp4,physics,.
25,Indirect,TRUTH,Is your dad 60 years old this year?,video/V23.mp4,60,.
15,Indirect,LIE,Are you from Temasek Polytechnic?,video/V40.mp4,not from tp,/
