item,style,condition,question,video,,,
2,Indirect,TRUTH,Are you from Chengdu Jiaxiang Foreign Language School?,video/V35.mp4,chengdu jiaxiang,.,
19,Direct,LIE,Which MRT station is closest to your house?,video/V17.mp4,chinese garden,.,
17,Direct,TRUTH,Where did you celebrate your 21st birthday?,video/V32.mp4,did not celebrate,.,
26,Direct,TRUTH,How often do you smoke?,video/V29.mp4,never smoke,.,
30,Direct,LIE,What brand of laptop do you mainly use?,video/V24.mp4,apple,.,
9,Indirect,TRUTH,Is your favourite drink Pure water?,video/V25.mp4,pure water,.,
23,Indirect,LIE,Are you studying Electrical & Electronic Engineering course in NTU?,video/V21.mp4,computer science,.,
9,Indirect,LIE,Is your favourite drink Green Tea?,video/V9.mp4,green tea,.,
18,Direct,TRUTH,What was the last country you visited?,video/V40.mp4,singapore,.,
29,Indirect,LIE,Do you use a Huawei phone?,video/V1.mp4,samsung,.,
25,Direct,TRUTH,"How old is your dad? (Eg. 45, 52)",video/V15.mp4,47,.,
6,Indirect,LIE,Were you in the Soccer CCA during secondary school?,video/V22.mp4,soccer,.,
1,Indirect,LIE,Are you from Chengdu Jiaxiang Foreign Language School Chenghua Branch?,video/V26.mp4,chengdu no4 middle school,.,
25,Direct,LIE,"How old is your dad? (Eg. 45, 52)",video/V23.mp4,42,.,
22,Indirect,TRUTH,Are you in your 3rd year in NTU?,video/V36.mp4,1,.,
26,Indirect,LIE,Do you smoke socially?,video/V8.mp4,socially,.,
24,Direct,LIE,"How old is your mum? (Eg. 45, 52)",video/V6.mp4,51,.,
28,Indirect,TRUTH,Is your religion Catholicism?,video/V16.mp4,freethinker,.,
1,Indirect,TRUTH,Are you from Yishun Primary School?,video/V14.mp4,chengu jiaxiang,.,
7,Indirect,TRUTH,Is your favourite sport Tennis?,video/V31.mp4,basketball,.,
16,Indirect,LIE,Do you have 4 siblings?,video/V20.mp4,0,.,
23,Direct,TRUTH,What course are you studying?,video/V11.mp4,eee,.,
29,Direct,TRUTH,What brand of handphone do you use?,video/V13.mp4,huawei,.,
2,Direct,LIE,Which secondary school did you attend?,video/V3.mp4,chengdu no7 middle,.,
3,Direct,TRUTH,Who is your closest friend back in secondary school?,video/V5.mp4,jack,.,
22,Direct,LIE,"Which year in NTU are you currently in? (Eg. 1, 2, 3, 4)",video/V10.mp4,2,.,
16,Indirect,TRUTH,Do you have 2 siblings?,video/V30.mp4,4,.,
28,Direct,LIE,What religion do you practice?,video/V2.mp4,buddhist,.,
27,Indirect,TRUTH,Do you drink alcohol rarely?,video/V38.mp4,rarely,.,
17,Direct,LIE,Where did you celebrate your 21st birthday?,video/V19.mp4,hall campus,.,
30,Direct,TRUTH,What brand of laptop do you mainly use?,video/V39.mp4,huawei,.,
7,Direct,LIE,What is your favourite sport?,video/V18.mp4,soccer,.,
27,Indirect,LIE,Do you drink alcohol frequently?,video/V37.mp4,frequently,.,
19,Indirect,TRUTH,Is the Pioneer station the closest MRT to your house?,video/V7.mp4,pioneer,.,
18,Indirect,LIE,Was the last country you visited Italy?,video/V12.mp4,italy,.,
21,Indirect,TRUTH,Are you from School of Humanities in NTU?,video/V34.mp4,school of eee,.,
24,Direct,TRUTH,"How old is your mum? (Eg. 45, 52)",video/V28.mp4,49,X,
3,Indirect,LIE,Is Desmond your closest friend back in secondary school?,video/V4.mp4,desmond,.,stutter
21,Indirect,LIE,Are you from School of Electrical & Electronic Engineering in NTU?,video/V33.mp4,soh,.,
6,Indirect,TRUTH,Were you not in any CCA during secondary school?,video/V27.mp4,not in any cca,.,
