item,style,condition,question,video,,
27,Direct,TRUTH,How frequently do you drink alcohol?,video/V21.mp4,don’t drink at all,.
13,Direct,LIE,What is your dream job growing up?,video/V10.mp4,doctor,.
13,Indirect,TRUTH,Did you have no dream job growing up?,video/V2.mp4,did not have a dream job,.
30,Indirect,TRUTH,Do you use a HP laptop?,video/V24.mp4,macbook,.
9,Direct,TRUTH,What is your favourite drink?,video/V20.mp4,plain water,.
22,Direct,LIE,"Which year in NTU are you currently in? (Eg. 1, 2, 3, 4)",video/V22.mp4,2,.
6,Direct,LIE,What CCA (Co-curricular Activity) did you join in secondary school?,video/V23.mp4,netball,.
28,Indirect,LIE,Is your religion Christianity?,video/V1.mp4,christian,.
29,Indirect,TRUTH,Do you use a Apple phone?,video/V7.mp4,apple,.
7,Direct,LIE,What is your favourite sport?,video/V34.mp4,basketball,.
16,Direct,TRUTH,"How many siblings do you have? (Eg. 0, 1, 2, 3)",video/V32.mp4,1,.
2,Direct,LIE,Which secondary school did you attend?,video/V29.mp4,gan eng seng,.
20,Direct,LIE,Which floor of the building is your house on?,video/V14.mp4,10,.
15,Indirect,LIE,Are you from Anglo Chinese Junior College?,video/V13.mp4,acsi,.
12,Direct,TRUTH,What was your favourite subject back in secondary school?,video/V37.mp4,don’t have a fav subject,.
26,Indirect,LIE,Do you not smoke at all? ,video/V36.mp4,smoke abit with my friends abit,.
12,Direct,LIE,What was your favourite subject back in secondary school?,video/V33.mp4,math,.
23,Indirect,LIE,Are you studying Biological Sciences course in NTU?,video/V5.mp4,biological sciences,.
20,Indirect,TRUTH,Is your house on the 4th floor of the building?,video/V15.mp4,4th,.
1,Indirect,LIE,Are you from Woodlands Primary School?,video/V11.mp4,woodlands,.
21,Direct,LIE,"Which school in NTU are you from? (Eg. NBS, SSS, SOH)",video/V12.mp4,sbs,.
1,Indirect,TRUTH,Are you from Gan Eng Seng Primary School?,video/V30.mp4,gan eng seng,.
27,Indirect,LIE,Do you not drink alcohol at all? ,video/V18.mp4,occasionally during events or celebrations,.
2,Indirect,TRUTH,Are you from Temasek Secondary School?,video/V19.mp4,cresent girls,.
26,Direct,TRUTH,How often do you smoke?,video/V27.mp4,never smoke,.
15,Direct,TRUTH,Which polytechnic or junior college are you from?,video/V26.mp4,ac jc,.
21,Indirect,TRUTH,Are you from School of Social Sciences in NTU?,video/V17.mp4,sss,.
30,Direct,LIE,What brand of laptop do you mainly use?,video/V28.mp4,dell,.
29,Direct,LIE,What brand of handphone do you use?,video/V16.mp4,samsung,.
14,Direct,LIE,"What is your favourite flavour?(E.g. chocolate, vanilla, milktea; it can be a complicated flavour)",video/V31.mp4,chocolate,.
7,Indirect,TRUTH,Is your favourite sport Softball?,video/V8.mp4,softball,.
9,Indirect,LIE,Is your favourite drink Plain Water?,video/V38.mp4,green tea,.
22,Indirect,TRUTH,Are you in your 1st year in NTU?,video/V35.mp4,1,.
14,Indirect,TRUTH,Is your favourite flavour Chocolate?,video/V25.mp4,don’t have fav flavour,.
16,Indirect,LIE,Do you have 3 siblings?,video/V39.mp4,3,.
19,Indirect,TRUTH,Is the Bishan station the closest MRT to your house?,video/V6.mp4,redhill,.
6,Indirect,TRUTH,Were you in the Choir CCA during secondary school?,video/V40.mp4,softball,.
23,Direct,TRUTH,What course are you studying?,video/V4.mp4,sociology,.
19,Direct,LIE,Which MRT station is closest to your house?,video/V3.mp4,tiong bahru,.
28,Indirect,TRUTH,Are you a free-thinker?,video/V9.mp4,freethinker,.
