item,style,condition,question,video,,,
20,Indirect,LIE,Is your house on the 11th floor of the building?,video/V19.mp4,11,.,
20,Direct,TRUTH,Which floor of the building is your house on?,video/V9.mp4,8,.,
1,Indirect,TRUTH,Are you from St Nicholas Girls Primary School?,video/V7.mp4,st nich girls,.,
2,Indirect,LIE,Are you from St Nicholas Girls Secondary School?,video/V1.mp4,yuanchin,.,
6,Direct,LIE,What CCA (Co-curricular Activity) did you join in secondary school?,video/V11.mp4,hockey,.,
14,Direct,LIE,"What is your favourite flavour?(E.g. chocolate, vanilla, milktea; it can be a complicated flavour)",video/V30.mp4,vanilla,.,
12,Direct,LIE,What was your favourite subject back in secondary school?,video/V10.mp4,english,.,
14,Direct,TRUTH,"What is your favourite flavour?(E.g. chocolate, vanilla, milktea; it can be a complicated flavour)",video/V17.mp4,chocolate,.,
27,Direct,TRUTH,How frequently do you drink alcohol?,video/V38.mp4,seldom,X,seldom
27,Direct,LIE,How frequently do you drink alcohol?,video/V20.mp4,every week,/,
23,Indirect,TRUTH,Are you studying Biological Sciences course in NTU?,video/V34.mp4,biological sciences,.,
9,Indirect,LIE,Is your favourite drink Milo?,video/V12.mp4,coffee,.,
28,Indirect,LIE,Is your religion Christianity?,video/V39.mp4,christian,.,
22,Direct,TRUTH,"Which year in NTU are you currently in? (Eg. 1, 2, 3, 4)",video/V2.mp4,1,.,
19,Indirect,TRUTH,Is the Eunos station the closest MRT to your house?,video/V15.mp4,kovan,.,
15,Indirect,TRUTH,Are you from Nanyang Junior College?,video/V25.mp4,sp,.,
29,Direct,TRUTH,What brand of handphone do you use?,video/V24.mp4,iphone,.,
22,Direct,LIE,"Which year in NTU are you currently in? (Eg. 1, 2, 3, 4)",video/V5.mp4,3,.,
16,Direct,LIE,"How many siblings do you have? (Eg. 0, 1, 2, 3)",video/V14.mp4,2,.,
6,Indirect,TRUTH,Were you in the Hockey CCA during secondary school?,video/V32.mp4,not in hockey,/,
5,Direct,TRUTH,What is your favourite country you visited? ,video/V4.mp4,taiwan,.,
28,Direct,TRUTH,What religion do you practice?,video/V8.mp4,freethinker,.,
19,Indirect,LIE,Is the Kovan station the closest MRT to your house?,video/V35.mp4,pioneer,.,
24,Direct,TRUTH,"How old is your mum? (Eg. 45, 52)",video/V3.mp4,55,.,
16,Indirect,TRUTH,Do you have 1 sibling?,video/V21.mp4,1,.,
29,Direct,LIE,What brand of handphone do you use?,video/V28.mp4,samsung,.,
3,Direct,LIE,Who is your closest friend back in secondary school?,video/V18.mp4,zendrea,.,
8,Direct,TRUTH,What is your favourite food?,video/V37.mp4,sushi,.,
24,Direct,LIE,"How old is your mum? (Eg. 45, 52)",video/V22.mp4,50,.,
2,Direct,TRUTH,Which secondary school did you attend?,video/V36.mp4,st nich sec,.,
8,Indirect,LIE,Is your favourite food Pizza?,video/V16.mp4,pizza,.,
21,Indirect,TRUTH,Are you from School of Biological Sciences in NTU?,video/V33.mp4,sbs,.,
12,Indirect,TRUTH,Was your favourite subject E math back in secondary school?,video/V27.mp4,emath,.,
15,Indirect,LIE,Are you from Singapore Polytechnic?,video/V6.mp4,nanyang jc,.,
3,Direct,TRUTH,Who is your closest friend back in secondary school?,video/V26.mp4,christy,.,
5,Indirect,LIE,Is your favourite country Taiwan?,video/V13.mp4,korea,.,
23,Direct,LIE,What course are you studying?,video/V23.mp4,chemical engineering,.,
1,Indirect,LIE,Are you from Yishun Primary School?,video/V31.mp4,yishun pri,.,
9,Indirect,TRUTH,Is your favourite drink Orange Juice?,video/V29.mp4,teh ping,X,
21,Indirect,LIE,Are you from School of Humanities in NTU?,video/V40.mp4,soh,.,
