item,style,condition,question,video,,,
30,Indirect,TRUTH,Do you use a HP laptop?,video/V25.mp4,huawei,.,
24,Indirect,TRUTH,Is your mum 45 years old this year?,video/V26.mp4,45,.,
2,Indirect,LIE,Are you from Xinying Middle School?,video/V40.mp4,harvard middle school,.,
22,Direct,LIE,"Which year in NTU are you currently in? (Eg. 1, 2, 3, 4)",video/V1.mp4,2,.,
27,Indirect,TRUTH,Do you drink alcohol rarely?,video/V32.mp4,socially,.,
12,Direct,TRUTH,What was your favourite subject back in secondary school?,video/V10.mp4,history,.,
7,Indirect,TRUTH,Is your favourite sport Tennis?,video/V15.mp4,tennis,.,
13,Indirect,TRUTH,Did you not have a dream job growing up?,video/V29.mp4,no dream job,.,
23,Direct,TRUTH,What course are you studying?,video/V3.mp4,mathematical sciences,.,
29,Direct,LIE,What brand of handphone do you use?,video/V34.mp4,samsung,.,
16,Indirect,TRUTH,Do you have 0 siblings?,video/V27.mp4,0,.,
27,Indirect,LIE,Do you drink alcohol socially?,video/V5.mp4,don’t drink,.,
6,Indirect,LIE,Were you in the Student's Union CCA during secondary school?,video/V31.mp4,didn’t join any cca,.,
2,Direct,TRUTH,Which secondary school did you attend?,video/V35.mp4,xinying middle,.,
29,Indirect,TRUTH,Do you use a Huawei phone?,video/V9.mp4,huawei,.,
6,Indirect,TRUTH,Were you in the Choir CCA during secondary school?,video/V21.mp4,no I didn’t,.,
7,Indirect,LIE,Is your favourite sport Hockey?,video/V8.mp4,hockey,.,
22,Direct,TRUTH,"Which year in NTU are you currently in? (Eg. 1, 2, 3, 4)",video/V14.mp4,1,.,
30,Direct,LIE,What brand of laptop do you mainly use?,video/V17.mp4,hp,.,
1,Indirect,TRUTH,Are you from Jinhaian Primary School?,video/V16.mp4,jin haian,.,
26,Direct,LIE,How often do you smoke?,video/V39.mp4,everyday,.,
20,Direct,TRUTH,Which floor of the building is your house on?,video/V28.mp4,18,.,
23,Indirect,LIE,Are you studying Business course in NTU?,video/V2.mp4,business,.,
21,Direct,LIE,"Which school in NTU are you from? (Eg. NBS, SSS, SOH)",video/V12.mp4,nbs,.,
17,Direct,LIE,Where did you celebrate your 21st birthday?,video/V20.mp4,home,.,
20,Indirect,LIE,Is your house on the 6th floor of the building?,video/V36.mp4,16….6th,.,A LOT OF STUTTERING
15,Indirect,LIE,Are you from Rizhao No.1 Middle School?,video/V24.mp4,jc in singapore,.,
17,Direct,TRUTH,Where did you celebrate your 21st birthday?,video/V38.mp4,didn’t celebrate,.,
15,Indirect,TRUTH,Are you from Singapore Polytechnic?,video/V19.mp4,rizhao no 1,.,
13,Direct,LIE,What is your dream job growing up?,video/V7.mp4,rich man wife,.,
24,Indirect,LIE,Is your mum 49 years old this year?,video/V22.mp4,49,.,
1,Direct,LIE,Which primary school are you from?,video/V13.mp4,rizhao no 1,.,
21,Indirect,TRUTH,Are you from School of Physical Mathematical Sciences in NTU?,video/V23.mp4,spms,.,
19,Direct,LIE,Which MRT station is closest to your house?,video/V37.mp4,boonlay,.,
16,Indirect,LIE,Do you have 2 siblings?,video/V6.mp4,2,.,
28,Indirect,LIE,Is your religion Buddhism?,video/V4.mp4,buddhism,.,
28,Direct,TRUTH,What religion do you practice?,video/V33.mp4,don’t have any religion,/,
26,Direct,TRUTH,How often do you smoke?,video/V30.mp4,don’t know how to smoke,/,
19,Direct,TRUTH,Which MRT station is closest to your house?,video/V11.mp4,jurong east,.,
12,Direct,LIE,What was your favourite subject back in secondary school?,video/V18.mp4,chemistry,.,
