item,style,condition,question,respond,video,bitalino,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,Trialsloop.thisRepN,Trialsloop.thisTrialN,Trialsloop.thisN,Trialsloop.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,IDRESPONSE.text,sensor2.started,sensor2.stopped,sensor3.started,sensor3.stopped,sensor.started,sensor.stopped,sensor4.started,sensor4.stopped,textsubjresp.started,textsubjresp.stopped,SubjectiveResponse.response,SubjectiveResponse.rt,SubjectiveResponse.started,SubjectiveResponse.stopped,textsubjcon.started,textsubjcon.stopped,sensor5.started,sensor5.stopped,sensor1.started,sensor1.stopped,sensor6.started,sensor6.stopped,participant,session,date,expName,psychopyVersion,frameRate,
1,directx,TRUTH ,What is your favourite song?,"My favourite song is "Perfect" by Ed Sheeran",,,0,0,0,0,,,,,,,,,,,,,ID 006,,,,,,,,,,,,,,,,,,,,,,,006,001,2021_Feb_17_1416,deception_task,2020.2.10,60.061657263680424,
2,indirectx,LIE,What is your favourite tv-show/tv-drama?,"My favourite drama is F.R.I.E.N.D.S",,,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,006,001,2021_Feb_17_1416,deception_task,2020.2.10,60.061657263680424,
3,directx,TRUTH ,Is George Washington your role model in life?,""No, my role model is Lee Kuan Yew"",,,0,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,006,001,2021_Feb_17_1416,deception_task,2020.2.10,60.061657263680424,
4,indirectx,LIE,Is MacDonalds your favourite restaurant?,""Yes, MacDonalds is my favourite restaurant"",,,0,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,006,001,2021_Feb_17_1416,deception_task,2020.2.10,60.061657263680424,
5,directx,TRUTH ,Who is your favourite celebrity?,"My favourite celebrity is Chris Hemsworth",,,0,4,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,006,001,2021_Feb_17_1416,deception_task,2020.2.10,60.061657263680424,
1,directx,TRUTH ,What is your favourite song?,"My favourite song is "Perfect" by Ed Sheeran",,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,006,001,2021_Feb_17_1416,deception_task,2020.2.10,60.061657263680424,
2,indirectx,LIE,What is your favourite tv-show/tv-drama?,"My favourite drama is F.R.I.E.N.D.S",,,,,,,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,006,001,2021_Feb_17_1416,deception_task,2020.2.10,60.061657263680424,
3,directx,TRUTH ,Is George Washington your role model in life?,""No, my role model is Lee Kuan Yew"",,,,,,,0,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,006,001,2021_Feb_17_1416,deception_task,2020.2.10,60.061657263680424,
4,indirectx,LIE,Is MacDonalds your favourite restaurant?,""Yes, MacDonalds is my favourite restaurant"",,,,,,,0,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,006,001,2021_Feb_17_1416,deception_task,2020.2.10,60.061657263680424,
5,directx,TRUTH ,Who is your favourite celebrity?,"My favourite celebrity is Chris Hemsworth",,,,,,,0,4,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,006,001,2021_Feb_17_1416,deception_task,2020.2.10,60.061657263680424,
9,Direct,TRUTH,What is your favourite drink?,,video/V38.mp4,,,,,,,,,,0,0,0,0,,,,,,335.02744749421254,335.5440249349922,338.227202530019,338.72679286589846,342.592922531534,343.12646814994514,346.79286170750856,347.29238788271323,348.99277104856446,None,0.999074074074074,5.432699599768966,348.99277104856446,None,348.99277104856446,None,,,,,,,006,001,2021_Feb_17_1416,deception_task,2020.2.10,60.061657263680424,
13,Indirect,TRUTH,Is your dream job a Teacher when you were growing up?,,video/V36.mp4,,,,,,,,,,0,1,1,1,,,,,,356.3417570577003,356.84155238606036,364.34090051660314,364.84071990521625,368.02373036183417,368.5571383568458,373.056736391969,373.5566866672598,375.07314958190545,None,0.9981481481481482,3.51779648847878,375.07314958190545,None,375.07314958190545,None,,,,,,,006,001,2021_Feb_17_1416,deception_task,2020.2.10,60.061657263680424,
