"","Trial","Inclusion","Inclusion2","ID","style","condition","question","subresp","RT","item","BES_Cognitive","BES_Affective","BES_Total","Lie_Freq","Lie_Ability","Lie_Neg","Lie_Content","Lie_TotalAvg","MAIA1","MAIA2","MAIA3","MAIA4","MAIA5","MAIA6","MAIA7","MAIA8","MAIA_Total","SRP3_IPM","SRP3_CA","SRP3_ELS","SRP3_ASB","SRP3_PRI","SRP3_SEC","SRP3_Total","yoni_affective","yoni_cognitive","yoni_physical","yoni_total","HCT_Confidence","HCT_Accuracy","HCT_Awareness","Gender","Age","handedness","Polyjc","Ethnicity","Religion","Nationality","RaisedinSG"
"2285",45,1,1,29,"Direct","LIE","Which primary school are you from?",0,0.865671560633928,1,39,37,76,2.8433054447877,1.43346395473637,-1.00582522050534,-0.663017957890337,0.651981555282097,3.25,2.66666666666667,2.8,3.14285714285714,3.2,2.25,3.66666666666667,4,24.9761904761905,52,42,49,20,94,69,163,40,29,13,82,0.867407407407407,0.992738594756394,0.936120153703568,"Male",21,"Right handed","Junior College","Chinese","Catholicism","Singaporean","Yes"
"2286",46,1,1,29,"Direct","LIE","What is your dream job growing up?",0.997222222222222,0.68224213598296,13,39,37,76,2.8433054447877,1.43346395473637,-1.00582522050534,-0.663017957890337,0.651981555282097,3.25,2.66666666666667,2.8,3.14285714285714,3.2,2.25,3.66666666666667,4,24.9761904761905,52,42,49,20,94,69,163,40,29,13,82,0.867407407407407,0.992738594756394,0.936120153703568,"Male",21,"Right handed","Junior College","Chinese","Catholicism","Singaporean","Yes"
"2287",47,1,1,29,"Direct","TRUTH","Which secondary school did you attend?",0.999074074074074,1.01744488952681,2,39,37,76,2.8433054447877,1.43346395473637,-1.00582522050534,-0.663017957890337,0.651981555282097,3.25,2.66666666666667,2.8,3.14285714285714,3.2,2.25,3.66666666666667,4,24.9761904761905,52,42,49,20,94,69,163,40,29,13,82,0.867407407407407,0.992738594756394,0.936120153703568,"Male",21,"Right handed","Junior College","Chinese","Catholicism","Singaporean","Yes"
"2288",48,1,1,29,"Direct","LIE","Which floor of the building is your house on?",1,1.94855748210102,20,39,37,76,2.8433054447877,1.43346395473637,-1.00582522050534,-0.663017957890337,0.651981555282097,3.25,2.66666666666667,2.8,3.14285714285714,3.2,2.25,3.66666666666667,4,24.9761904761905,52,42,49,20,94,69,163,40,29,13,82,0.867407407407407,0.992738594756394,0.936120153703568,"Male",21,"Right handed","Junior College","Chinese","Catholicism","Singaporean","Yes"
"2289",49,1,1,29,"Direct","LIE","What was your favourite subject back in secondary school?",1,0.499018025584519,12,39,37,76,2.8433054447877,1.43346395473637,-1.00582522050534,-0.663017957890337,0.651981555282097,3.25,2.66666666666667,2.8,3.14285714285714,3.2,2.25,3.66666666666667,4,24.9761904761905,52,42,49,20,94,69,163,40,29,13,82,0.867407407407407,0.992738594756394,0.936120153703568,"Male",21,"Right handed","Junior College","Chinese","Catholicism","Singaporean","Yes"
"2290",50,1,1,29,"Direct","TRUTH","Which floor of the building is your house on?",0.987037037037037,1.36508802138269,20,39,37,76,2.8433054447877,1.43346395473637,-1.00582522050534,-0.663017957890337,0.651981555282097,3.25,2.66666666666667,2.8,3.14285714285714,3.2,2.25,3.66666666666667,4,24.9761904761905,52,42,49,20,94,69,163,40,29,13,82,0.867407407407407,0.992738594756394,0.936120153703568,"Male",21,"Right handed","Junior College","Chinese","Catholicism","Singaporean","Yes"
"2291",51,1,1,29,"Indirect","LIE","Is your religion Taoism?",0.00555555555555554,1.48129083029926,28,39,37,76,2.8433054447877,1.43346395473637,-1.00582522050534,-0.663017957890337,0.651981555282097,3.25,2.66666666666667,2.8,3.14285714285714,3.2,2.25,3.66666666666667,4,24.9761904761905,52,42,49,20,94,69,163,40,29,13,82,0.867407407407407,0.992738594756394,0.936120153703568,"Male",21,"Right handed","Junior College","Chinese","Catholicism","Singaporean","Yes"
"2292",52,1,1,29,"Indirect","LIE","Is your favourite food Ramen?",0.993518518518518,2.74957365402952,8,39,37,76,2.8433054447877,1.43346395473637,-1.00582522050534,-0.663017957890337,0.651981555282097,3.25,2.66666666666667,2.8,3.14285714285714,3.2,2.25,3.66666666666667,4,24.9761904761905,52,42,49,20,94,69,163,40,29,13,82,0.867407407407407,0.992738594756394,0.936120153703568,"Male",21,"Right handed","Junior College","Chinese","Catholicism","Singaporean","Yes"
"2293",53,1,1,29,"Indirect","TRUTH","Do you have 1 sibling?",0.993518518518518,1.69906916096807,16,39,37,76,2.8433054447877,1.43346395473637,-1.00582522050534,-0.663017957890337,0.651981555282097,3.25,2.66666666666667,2.8,3.14285714285714,3.2,2.25,3.66666666666667,4,24.9761904761905,52,42,49,20,94,69,163,40,29,13,82,0.867407407407407,0.992738594756394,0.936120153703568,"Male",21,"Right handed","Junior College","Chinese","Catholicism","Singaporean","Yes"
"2294",54,1,1,29,"Indirect","TRUTH","Was your favourite subject Chemistry back in secondary school?",0.993518518518518,0.798638708889484,12,39,37,76,2.8433054447877,1.43346395473637,-1.00582522050534,-0.663017957890337,0.651981555282097,3.25,2.66666666666667,2.8,3.14285714285714,3.2,2.25,3.66666666666667,4,24.9761904761905,52,42,49,20,94,69,163,40,29,13,82,0.867407407407407,0.992738594756394,0.936120153703568,"Male",21,"Right handed","Junior College","Chinese","Catholicism","Singaporean","Yes"
"2295",55,1,1,29,"Indirect","TRUTH","Are you in your 1st year in NTU?",0.990740740740741,1.9488814920187,22,39,37,76,2.8433054447877,1.43346395473637,-1.00582522050534,-0.663017957890337,0.651981555282097,3.25,2.66666666666667,2.8,3.14285714285714,3.2,2.25,3.66666666666667,4,24.9761904761905,52,42,49,20,94,69,163,40,29,13,82,0.867407407407407,0.992738594756394,0.936120153703568,"Male",21,"Right handed","Junior College","Chinese","Catholicism","Singaporean","Yes"
"2296",56,1,1,29,"Indirect","TRUTH","Do you smoke socially?",0.990740740740741,1.4819917823188,26,39,37,76,2.8433054447877,1.43346395473637,-1.00582522050534,-0.663017957890337,0.651981555282097,3.25,2.66666666666667,2.8,3.14285714285714,3.2,2.25,3.66666666666667,4,24.9761904761905,52,42,49,20,94,69,163,40,29,13,82,0.867407407407407,0.992738594756394,0.936120153703568,"Male",21,"Right handed","Junior College","Chinese","Catholicism","Singaporean","Yes"
"2297",57,1,1,29,"Direct","TRUTH","Which polytechnic or junior college are you from?",0.990740740740741,0.831687084399164,15,39,37,76,2.8433054447877,1.43346395473637,-1.00582522050534,-0.663017957890337,0.651981555282097,3.25,2.66666666666667,2.8,3.14285714285714,3.2,2.25,3.66666666666667,4,24.9761904761905,52,42,49,20,94,69,163,40,29,13,82,0.867407407407407,0.992738594756394,0.936120153703568,"Male",21,"Right handed","Junior College","Chinese","Catholicism","Singaporean","Yes"
"2298",58,1,1,29,"Direct","LIE","How often do you smoke?",0.00555555555555554,2.4855667995289,26,39,37,76,2.8433054447877,1.43346395473637,-1.00582522050534,-0.663017957890337,0.651981555282097,3.25,2.66666666666667,2.8,3.14285714285714,3.2,2.25,3.66666666666667,4,24.9761904761905,52,42,49,20,94,69,163,40,29,13,82,0.867407407407407,0.992738594756394,0.936120153703568,"Male",21,"Right handed","Junior College","Chinese","Catholicism","Singaporean","Yes"
"2299",59,1,1,29,"Direct","TRUTH","What is your favourite food?",1,0.964860316365957,8,39,37,76,2.8433054447877,1.43346395473637,-1.00582522050534,-0.663017957890337,0.651981555282097,3.25,2.66666666666667,2.8,3.14285714285714,3.2,2.25,3.66666666666667,4,24.9761904761905,52,42,49,20,94,69,163,40,29,13,82,0.867407407407407,0.992738594756394,0.936120153703568,"Male",21,"Right handed","Junior College","Chinese","Catholicism","Singaporean","Yes"
"2300",60,1,1,29,"Direct","TRUTH","What was the last country you visited?",1,0.431475419551134,18,39,37,76,2.8433054447877,1.43346395473637,-1.00582522050534,-0.663017957890337,0.651981555282097,3.25,2.66666666666667,2.8,3.14285714285714,3.2,2.25,3.66666666666667,4,24.9761904761905,52,42,49,20,94,69,163,40,29,13,82,0.867407407407407,0.992738594756394,0.936120153703568,"Male",21,"Right handed","Junior College","Chinese","Catholicism","Singaporean","Yes"
"2301",61,1,1,29,"Direct","TRUTH","What course are you studying?",1,0.498680220916867,23,39,37,76,2.8433054447877,1.43346395473637,-1.00582522050534,-0.663017957890337,0.651981555282097,3.25,2.66666666666667,2.8,3.14285714285714,3.2,2.25,3.66666666666667,4,24.9761904761905,52,42,49,20,94,69,163,40,29,13,82,0.867407407407407,0.992738594756394,0.936120153703568,"Male",21,"Right handed","Junior College","Chinese","Catholicism","Singaporean","Yes"
"2302",62,1,1,29,"Direct","LIE","Which secondary school did you attend?",1,1.21403810102493,2,39,37,76,2.8433054447877,1.43346395473637,-1.00582522050534,-0.663017957890337,0.651981555282097,3.25,2.66666666666667,2.8,3.14285714285714,3.2,2.25,3.66666666666667,4,24.9761904761905,52,42,49,20,94,69,163,40,29,13,82,0.867407407407407,0.992738594756394,0.936120153703568,"Male",21,"Right handed","Junior College","Chinese","Catholicism","Singaporean","Yes"
"2303",63,1,1,29,"Direct","LIE","How many siblings do you have? (Eg. 0, 1, 2, 3)",0.994444444444444,0.448089752811939,16,39,37,76,2.8433054447877,1.43346395473637,-1.00582522050534,-0.663017957890337,0.651981555282097,3.25,2.66666666666667,2.8,3.14285714285714,3.2,2.25,3.66666666666667,4,24.9761904761905,52,42,49,20,94,69,163,40,29,13,82,0.867407407407407,0.992738594756394,0.936120153703568,"Male",21,"Right handed","Junior College","Chinese","Catholicism","Singaporean","Yes"
"2304",64,1,1,29,"Direct","LIE","Which school in NTU are you from? (Eg. NBS, SSS, SOH)",0.994444444444444,0.398164948448539,21,39,37,76,2.8433054447877,1.43346395473637,-1.00582522050534,-0.663017957890337,0.651981555282097,3.25,2.66666666666667,2.8,3.14285714285714,3.2,2.25,3.66666666666667,4,24.9761904761905,52,42,49,20,94,69,163,40,29,13,82,0.867407407407407,0.992738594756394,0.936120153703568,"Male",21,"Right handed","Junior College","Chinese","Catholicism","Singaporean","Yes"
"2305",65,1,1,29,"Indirect","LIE","Were you in the Boys' Brigade CCA during secondary school?",0.994444444444444,0.66530475532636,6,39,37,76,2.8433054447877,1.43346395473637,-1.00582522050534,-0.663017957890337,0.651981555282097,3.25,2.66666666666667,2.8,3.14285714285714,3.2,2.25,3.66666666666667,4,24.9761904761905,52,42,49,20,94,69,163,40,29,13,82,0.867407407407407,0.992738594756394,0.936120153703568,"Male",21,"Right handed","Junior College","Chinese","Catholicism","Singaporean","Yes"
"2306",66,1,1,29,"Direct","LIE","Who is your closest friend back in secondary school?",0.994444444444444,0.600403632968664,3,39,37,76,2.8433054447877,1.43346395473637,-1.00582522050534,-0.663017957890337,0.651981555282097,3.25,2.66666666666667,2.8,3.14285714285714,3.2,2.25,3.66666666666667,4,24.9761904761905,52,42,49,20,94,69,163,40,29,13,82,0.867407407407407,0.992738594756394,0.936120153703568,"Male",21,"Right handed","Junior College","Chinese","Catholicism","Singaporean","Yes"
"2307",67,1,1,29,"Indirect","LIE","Do you use a OPPO phone?",0,1.00016617542133,29,39,37,76,2.8433054447877,1.43346395473637,-1.00582522050534,-0.663017957890337,0.651981555282097,3.25,2.66666666666667,2.8,3.14285714285714,3.2,2.25,3.66666666666667,4,24.9761904761905,52,42,49,20,94,69,163,40,29,13,82,0.867407407407407,0.992738594756394,0.936120153703568,"Male",21,"Right handed","Junior College","Chinese","Catholicism","Singaporean","Yes"
"2308",68,1,1,29,"Direct","TRUTH","What religion do you practice?",0.981481481481481,0.882138966117054,28,39,37,76,2.8433054447877,1.43346395473637,-1.00582522050534,-0.663017957890337,0.651981555282097,3.25,2.66666666666667,2.8,3.14285714285714,3.2,2.25,3.66666666666667,4,24.9761904761905,52,42,49,20,94,69,163,40,29,13,82,0.867407407407407,0.992738594756394,0.936120153703568,"Male",21,"Right handed","Junior College","Chinese","Catholicism","Singaporean","Yes"
"2309",69,1,1,29,"Direct","TRUTH","What is your favourite sport?",0.990740740740741,0.91541671520099,7,39,37,76,2.8433054447877,1.43346395473637,-1.00582522050534,-0.663017957890337,0.651981555282097,3.25,2.66666666666667,2.8,3.14285714285714,3.2,2.25,3.66666666666667,4,24.9761904761905,52,42,49,20,94,69,163,40,29,13,82,0.867407407407407,0.992738594756394,0.936120153703568,"Male",21,"Right handed","Junior College","Chinese","Catholicism","Singaporean","Yes"
"2310",70,1,1,29,"Indirect","TRUTH","Is the Eunos station the closest MRT to your house?",1,0.864867310039699,19,39,37,76,2.8433054447877,1.43346395473637,-1.00582522050534,-0.663017957890337,0.651981555282097,3.25,2.66666666666667,2.8,3.14285714285714,3.2,2.25,3.66666666666667,4,24.9761904761905,52,42,49,20,94,69,163,40,29,13,82,0.867407407407407,0.992738594756394,0.936120153703568,"Male",21,"Right handed","Junior College","Chinese","Catholicism","Singaporean","Yes"
"2311",71,1,1,29,"Direct","LIE","Which year in NTU are you currently in? (Eg. 1, 2, 3, 4)",0.991666666666667,3.46680084755644,22,39,37,76,2.8433054447877,1.43346395473637,-1.00582522050534,-0.663017957890337,0.651981555282097,3.25,2.66666666666667,2.8,3.14285714285714,3.2,2.25,3.66666666666667,4,24.9761904761905,52,42,49,20,94,69,163,40,29,13,82,0.867407407407407,0.992738594756394,0.936120153703568,"Male",21,"Right handed","Junior College","Chinese","Catholicism","Singaporean","Yes"
"2312",72,1,1,29,"Direct","LIE","Which polytechnic or junior college are you from?",0.999074074074074,0.799040352925658,15,39,37,76,2.8433054447877,1.43346395473637,-1.00582522050534,-0.663017957890337,0.651981555282097,3.25,2.66666666666667,2.8,3.14285714285714,3.2,2.25,3.66666666666667,4,24.9761904761905,52,42,49,20,94,69,163,40,29,13,82,0.867407407407407,0.992738594756394,0.936120153703568,"Male",21,"Right handed","Junior College","Chinese","Catholicism","Singaporean","Yes"
"2313",73,1,1,29,"Indirect","LIE","Is your favourite sport Badminton?",0.996296296296296,2.18453362444416,7,39,37,76,2.8433054447877,1.43346395473637,-1.00582522050534,-0.663017957890337,0.651981555282097,3.25,2.66666666666667,2.8,3.14285714285714,3.2,2.25,3.66666666666667,4,24.9761904761905,52,42,49,20,94,69,163,40,29,13,82,0.867407407407407,0.992738594756394,0.936120153703568,"Male",21,"Right handed","Junior College","Chinese","Catholicism","Singaporean","Yes"
"2314",74,1,1,29,"Direct","TRUTH","Which school in NTU are you from? (Eg. NBS, SSS, SOH)",0.996296296296296,0.982557355891913,21,39,37,76,2.8433054447877,1.43346395473637,-1.00582522050534,-0.663017957890337,0.651981555282097,3.25,2.66666666666667,2.8,3.14285714285714,3.2,2.25,3.66666666666667,4,24.9761904761905,52,42,49,20,94,69,163,40,29,13,82,0.867407407407407,0.992738594756394,0.936120153703568,"Male",21,"Right handed","Junior College","Chinese","Catholicism","Singaporean","Yes"
"2315",75,1,1,29,"Direct","TRUTH","Who is your closest friend back in secondary school?",0.996296296296296,1.23163922084495,3,39,37,76,2.8433054447877,1.43346395473637,-1.00582522050534,-0.663017957890337,0.651981555282097,3.25,2.66666666666667,2.8,3.14285714285714,3.2,2.25,3.66666666666667,4,24.9761904761905,52,42,49,20,94,69,163,40,29,13,82,0.867407407407407,0.992738594756394,0.936120153703568,"Male",21,"Right handed","Junior College","Chinese","Catholicism","Singaporean","Yes"
"2316",76,1,1,29,"Direct","TRUTH","Which primary school are you from?",0.996296296296296,0.617362828459591,1,39,37,76,2.8433054447877,1.43346395473637,-1.00582522050534,-0.663017957890337,0.651981555282097,3.25,2.66666666666667,2.8,3.14285714285714,3.2,2.25,3.66666666666667,4,24.9761904761905,52,42,49,20,94,69,163,40,29,13,82,0.867407407407407,0.992738594756394,0.936120153703568,"Male",21,"Right handed","Junior College","Chinese","Catholicism","Singaporean","Yes"
"2317",77,1,1,29,"Direct","TRUTH","What is your favourite country you visited? ",0.999074074074074,1.93155594123527,5,39,37,76,2.8433054447877,1.43346395473637,-1.00582522050534,-0.663017957890337,0.651981555282097,3.25,2.66666666666667,2.8,3.14285714285714,3.2,2.25,3.66666666666667,4,24.9761904761905,52,42,49,20,94,69,163,40,29,13,82,0.867407407407407,0.992738594756394,0.936120153703568,"Male",21,"Right handed","Junior College","Chinese","Catholicism","Singaporean","Yes"
"2318",78,1,1,29,"Direct","LIE","What is your favourite country you visited? ",0.00277777777777777,0.715461820363998,5,39,37,76,2.8433054447877,1.43346395473637,-1.00582522050534,-0.663017957890337,0.651981555282097,3.25,2.66666666666667,2.8,3.14285714285714,3.2,2.25,3.66666666666667,4,24.9761904761905,52,42,49,20,94,69,163,40,29,13,82,0.867407407407407,0.992738594756394,0.936120153703568,"Male",21,"Right handed","Junior College","Chinese","Catholicism","Singaporean","Yes"
"2319",79,1,1,29,"Indirect","TRUTH","Do you use a Samsung phone?",0.991666666666667,0.931468682829291,29,39,37,76,2.8433054447877,1.43346395473637,-1.00582522050534,-0.663017957890337,0.651981555282097,3.25,2.66666666666667,2.8,3.14285714285714,3.2,2.25,3.66666666666667,4,24.9761904761905,52,42,49,20,94,69,163,40,29,13,82,0.867407407407407,0.992738594756394,0.936120153703568,"Male",21,"Right handed","Junior College","Chinese","Catholicism","Singaporean","Yes"
"2320",80,1,1,29,"Indirect","TRUTH","Is your dream job a Doctor when you were growing up?",0,0.848913187161088,13,39,37,76,2.8433054447877,1.43346395473637,-1.00582522050534,-0.663017957890337,0.651981555282097,3.25,2.66666666666667,2.8,3.14285714285714,3.2,2.25,3.66666666666667,4,24.9761904761905,52,42,49,20,94,69,163,40,29,13,82,0.867407407407407,0.992738594756394,0.936120153703568,"Male",21,"Right handed","Junior College","Chinese","Catholicism","Singaporean","Yes"
"2321",1,1,1,30,"Indirect","TRUTH","Are you from Woodlands Primary School?",0.983333333333333,5.26558135077357,1,38,38,76,3.05759037751246,-0.0981456644950388,0.665779329798346,-0.45607749402103,0.792286637198683,4,3.5,3.4,3.57142857142857,4,4.25,4,4.33333333333333,31.0547619047619,45,28,26,16,73,42,115,43,31,8,82,0.824814814814815,0.92193263655557,0.106933024448759,"Male",25,"Right handed","Polytechnic","Chinese","Christianity","Singaporean","No"
"2322",2,1,1,30,"Direct","TRUTH","Which year in NTU are you currently in? (Eg. 1, 2, 3, 4)",0.984259259259259,3.13374746683985,22,38,38,76,3.05759037751246,-0.0981456644950388,0.665779329798346,-0.45607749402103,0.792286637198683,4,3.5,3.4,3.57142857142857,4,4.25,4,4.33333333333333,31.0547619047619,45,28,26,16,73,42,115,43,31,8,82,0.824814814814815,0.92193263655557,0.106933024448759,"Male",25,"Right handed","Polytechnic","Chinese","Christianity","Singaporean","No"
"2323",3,1,1,30,"Indirect","LIE","Was your favourite subject Chemistry back in secondary school?",0.918518518518519,6.55032227747142,12,38,38,76,3.05759037751246,-0.0981456644950388,0.665779329798346,-0.45607749402103,0.792286637198683,4,3.5,3.4,3.57142857142857,4,4.25,4,4.33333333333333,31.0547619047619,45,28,26,16,73,42,115,43,31,8,82,0.824814814814815,0.92193263655557,0.106933024448759,"Male",25,"Right handed","Polytechnic","Chinese","Christianity","Singaporean","No"
"2324",4,1,1,30,"Indirect","LIE","Do you use a Samsung phone?",0.918518518518519,0.764951295685023,29,38,38,76,3.05759037751246,-0.0981456644950388,0.665779329798346,-0.45607749402103,0.792286637198683,4,3.5,3.4,3.57142857142857,4,4.25,4,4.33333333333333,31.0547619047619,45,28,26,16,73,42,115,43,31,8,82,0.824814814814815,0.92193263655557,0.106933024448759,"Male",25,"Right handed","Polytechnic","Chinese","Christianity","Singaporean","No"
"2325",5,1,1,30,"Direct","LIE","What religion do you practice?",0.962962962962963,4.81560784904286,28,38,38,76,3.05759037751246,-0.0981456644950388,0.665779329798346,-0.45607749402103,0.792286637198683,4,3.5,3.4,3.57142857142857,4,4.25,4,4.33333333333333,31.0547619047619,45,28,26,16,73,42,115,43,31,8,82,0.824814814814815,0.92193263655557,0.106933024448759,"Male",25,"Right handed","Polytechnic","Chinese","Christianity","Singaporean","No"
"2326",6,1,1,30,"Direct","TRUTH","What course are you studying?",0.986111111111111,5.5491770147346,23,38,38,76,3.05759037751246,-0.0981456644950388,0.665779329798346,-0.45607749402103,0.792286637198683,4,3.5,3.4,3.57142857142857,4,4.25,4,4.33333333333333,31.0547619047619,45,28,26,16,73,42,115,43,31,8,82,0.824814814814815,0.92193263655557,0.106933024448759,"Male",25,"Right handed","Polytechnic","Chinese","Christianity","Singaporean","No"
"2327",7,1,1,30,"Direct","LIE","What is your favourite drink?",0.986111111111111,1.81511477660388,9,38,38,76,3.05759037751246,-0.0981456644950388,0.665779329798346,-0.45607749402103,0.792286637198683,4,3.5,3.4,3.57142857142857,4,4.25,4,4.33333333333333,31.0547619047619,45,28,26,16,73,42,115,43,31,8,82,0.824814814814815,0.92193263655557,0.106933024448759,"Male",25,"Right handed","Polytechnic","Chinese","Christianity","Singaporean","No"
"2328",8,1,1,30,"Indirect","TRUTH","Are you from St Andrew's Secondary School?",0.0555555555555556,1.44841568730772,2,38,38,76,3.05759037751246,-0.0981456644950388,0.665779329798346,-0.45607749402103,0.792286637198683,4,3.5,3.4,3.57142857142857,4,4.25,4,4.33333333333333,31.0547619047619,45,28,26,16,73,42,115,43,31,8,82,0.824814814814815,0.92193263655557,0.106933024448759,"Male",25,"Right handed","Polytechnic","Chinese","Christianity","Singaporean","No"
